0,1,2
3,CHEMICAL CONSTITUENTS,BIOLOGICAL ACTIVITY
4,"Bruceine B^1,2","Amebicide, Antimalarial, Antiplasmodial, Cytotoxic, Insecticide, Pesticide, Plasmodicide, Protisticide, Trypanocide^3"
5,"Bruceine D^1,2","Amebicide, Anticancer, Antileukemic, Antimalarial, Antitumour, Cytotoxic, Pesticide, Plasmodicide, Protisticide, Trypanocide3, Antiphytoviral4"
6,"Brusatol^1,2 ","Amebicide, Anticancer, Antifeedant, Antigiardial, Antileukemic, Antimalarial, Antitumor, Cytotoxic, Pesticide, Plasmodicide, Protisticide, Trypanocide3"
7,"Bruceoside B^1,2",-
8,"Yadanziolide A^1,2","Antimalarial, Pesticide3"
9,"Soulameanone 1,2",-
10,"11-Hydroxycanthin-6-one 1,2","Cytotoxic, Antileukemic"
11,"Bruceolline A 1,2",-
12,"Bruceolline B 1,4",-
13,"Bruceolline C 1,2",-
14,"Bruceolline D 1,2",-
15,"Bruceolline E 1,2",-
16,"Bruceolline F 1,2",-
17,"Bruceolline G 1,2",-
18,"5,11-Dimethoxycanthin-6-one 1,2",-
19,11-Hydroxycanthin-6-one N-oxide 2,-
20,"11-hydroxy-1-methoxycanthin-6 1,5",-
21,"1-(Hydroxymethyl) ?-carboline 1,5",-
22,1-Ethyl- ?–carboline 5,"Antibacterial, CNS-Depressant, Hypotensive, Pesticide 3"
23,"9H-pyridol3,4-lindole-1-ethanol 5",-
24,"? -Carboline-1-propionic acid 1,5",Camp inhibitor 3
25,"Canthin-6-one N –oxide 1,2",-
26,11-O-?-D-glucopyranosyl-(1-6)?-D,
27,"glucopyranosylcanthin-6-one 1,2",
28,5-O-?–Dglucopyranosyl-(1-6)-?-D,
29,"glucopyranosylcanthin-6-one 1,2",
30,"1-(2’-hydroxymethyl) ?-carboline 1,5",
31,Bruceollines H-N 122 6,
32,Bruceollines H-N 222 6,
33,Bruceollines H-N 322 6,
34,Bruceollines H-N 422 6,
35,Bruceollines H-N 522 6,
36,Bruceollines H-N 622 6,
37,Bruceollines H-N 722 6,
38,Yadanziolides T-V 10 22 6,Cytotoxic22 6
39,Yadanziolides T-V 1122 6,
40,Yadanziolides T-V 1222 6,
41,Bruceolline E22 6,
42,Bruceolline F22 6,
43,Bruceine D22 6,Cytotoxic22 6
44,"Canthin-6-one 1,7","Antibacterial, Antileukemic, Antimycotic, Antiseptic, Cytotoxic, Fungicide, Pesticide and Camp- inhibitor 3"
45,Yadanziolide B22 6,Cytotoxic22 6
46,"1- Hydroxy-11-methoxycanthin-6-one 1,2",Cytotoxic 3
